THz Laser,,IR Pump,,,,,,,,,,,
,,P,,,,Q,,,,R,,,
Freq (GHz),QN,P Freq (wn),P QN,P Polarization,P G_m,Q Freq (wn),Q QN,Q Polarization,Q G_m,R Freq (wn),R QN,R Polarization,R G_m
3988.2917,"sR(4,3)*",847.5781,"sP(6,3)",parallel,1.20E-18,966.3799,"sQ(5,3)",perpendicular,1.40E-18,1065.5654,"sR(4,3)",parallel,1.90E-18
4043.0164,"sR(4,4)*",847.3376,"sP(6,4)",parallel,2.80E-19,966.2692,"sQ(5,4)",perpendicular,7.70E-19,1065.5638,"sR(4,4)",parallel,3.50E-19
4252.6877,"aR(8,8) ",728.5745,"aP(10,8)",parallel,2.20E-20,926.0457,"aQ(9,8)",perpendicular,1.60E-19,1104.3325,"aR(8,8)",parallel,4.60E-20
4348.9638,"aR(8,7) ",732.9436,"aP(10,7)",parallel,4.40E-20,929.9705,"aQ(9,7)",perpendicular,1.80E-19,1107.8494,"aR(8,7)",parallel,1.20E-19
4424.4522,"aR(8,6) ",736.509,"aP(10,6)",parallel,1.20E-19,933.1574,"aQ(9,6)",perpendicular,2.90E-19,1110.6889,"aR(8,6)",parallel,3.90E-19
4458.875,"sR(5,0) ",827.8777,"sP(7,0)",parallel,1.30E-18,-,-,-,-,1084.629,"sR(5,0)",parallel,3.00E-18
4465.9475,"sR(5,1)*",827.8334,"sP(7,1)",parallel,6.40E-19,965.9677,"sQ(6,1)",perpendicular,4.80E-20,1084.6237,"sR(5,1)",parallel,1.40E-18
4482.9601,"aR(8,5) ",739.3747,"aP(10,5)",parallel,7.30E-20,935.7074,"aQ(9,5)",perpendicular,1.00E-19,1112.9492,"aR(8,5)",parallel,2.40E-19
4487.2388,"sR(5,2)*",827.7021,"sP(7,2)",parallel,5.60E-19,965.8991,"sQ(6,2)",perpendicular,1.90E-19,1084.6098,"sR(5,2)",parallel,1.30E-18
4523.5918,"sR(5,3)*",827.4878,"sP(7,3)",parallel,9.50E-19,965.7913,"sQ(6,3)",perpendicular,7.70E-19,1084.5931,"sR(5,3)",parallel,2.00E-18
4527.3979,"aR(8,4) ",741.6214,"aP(10,4)",parallel,8.10E-20,937.6988,"aQ(9,4)",perpendicular,6.40E-20,1114.7065,"aR(8,4)",parallel,2.70E-19
4559.8907,"aR(8,3) ",743.3067,"aP(10,3)",parallel,1.70E-19,939.1981,"aQ(9,3)",perpendicular,7.20E-20,1116.0197,"aR(8,3)",parallel,6.10E-19
4576.3508,"sR(5,4)*",827.2011,"sP(7,4)",parallel,3.20E-19,965.652,"sQ(6,4)",perpendicular,5.70E-19,1084.5836,"sR(5,4)",parallel,6.10E-19
4581.9994,"aR(8,2) ",744.4863,"aP(10,2)",parallel,8.80E-20,940.2276,"aQ(9,2)",perpendicular,1.60E-20,1116.9269,"aR(8,2)",parallel,3.00E-19
4594.88,"aR(8,1) ",745.1781,"aP(10,1)",parallel,8.90E-20,940.8361,"aQ(9,1)",perpendicular,3.90E-21,1117.4591,"aR(8,1)",parallel,3.00E-19
4599.4936,"aR(8,0) ",745.4199,"aP(10,0)",parallel,1.80E-19,-,-,-,-,1117.6478,"aR(8,0)",parallel,6.40E-19
4647.5756,"sR(5,5)*",826.8553,"sP(7,5)",parallel,1.50E-19,965.4994,"sQ(6,5)",perpendicular,5.80E-19,1084.5992,"sR(5,5)",parallel,2.20E-19
4820.6691,"aR(9,9) ",707.047,"aP(11,9)",parallel,1.90E-20,924.0703,"aQ(10,9)",perpendicular,1.70E-19,1122.0551,"aR(9,9)",parallel,4.70E-20
4929.484,"aR(9,8) ",712.0875,"aP(11,8)",parallel,1.90E-20,928.5579,"aQ(10,8)",perpendicular,9.30E-20,1126.0291,"aR(9,8)",parallel,6.00E-20
4993.5672,"sR(6,1)*",807.8716,"sP(8,1)",parallel,3.40E-19,965.3515,"sQ(7,1)",perpendicular,2.20E-20,1103.4858,"sR(6,1)",parallel,9.40E-19
5013.9753,"sR(6,2)*",807.7223,"sP(8,2)",parallel,3.20E-19,965.2727,"sQ(7,2)",perpendicular,8.60E-20,1103.4698,"sR(6,2)",parallel,8.70E-19
5015.0349,"aR(9,7) ",716.2427,"aP(11,7)",parallel,2.60E-20,932.2348,"aQ(10,7)",perpendicular,8.00E-20,1129.2617,"aR(9,7)",parallel,9.20E-20
5048.5821,"sR(6,3)*",807.4718,"sP(8,3)",parallel,5.60E-19,965.1377,"sQ(7,3)",perpendicular,3.70E-19,1103.4412,"sR(6,3)",parallel,1.50E-18
5081.8731,"aR(9,6) ",719.6367,"aP(11,6)",parallel,6.10E-20,935.2212,"aQ(10,6)",perpendicular,1.20E-19,1131.8696,"aR(9,6)",parallel,2.20E-19
5099.304,"sR(6,4)*",807.1441,"sP(8,4)",parallel,2.50E-19,964.9796,"sQ(7,4)",perpendicular,3.10E-19,1103.4305,"sR(6,4)",parallel,5.80E-19
5133.509,"aR(9,5) ",722.3671,"aP(11,5)",parallel,3.30E-20,937.6115,"aQ(10,5)",perpendicular,3.90E-20,1133.9442,"aR(9,5)",parallel,1.30E-19
5167.5058,"sR(6,5)*",806.7377,"sP(8,5)",parallel,6.90E-20,964.7902,"sQ(7,5)",perpendicular,4.10E-19,1103.4343,"sR(6,5)",parallel,3.60E-19
5172.619,"aR(9,4) ",724.5095,"aP(11,4)",parallel,3.40E-20,939.479,"aQ(10,4)",perpendicular,2.40E-20,1135.5564,"aR(9,4)",parallel,1.40E-19
5201.4139,"aR(9,3) ",726.127,"aP(11,3)",parallel,7.00E-20,940.8659,"aQ(10,3)",perpendicular,2.60E-20,1136.7574,"aR(9,3)",parallel,2.70E-19
5220.4105,"aR(9,2) ",727.2435,"aP(11,2)",parallel,3.60E-20,941.8509,"aQ(10,2)",perpendicular,5.50E-21,1137.5922,"aR(9,2)",parallel,1.40E-19
5231.6477,"aR(9,1) ",727.9019,"aP(11,1)",parallel,3.60E-20,942.4195,"aQ(10,1)",perpendicular,1.30E-21,1138.0776,"aR(9,1)",parallel,1.40E-19
5255.9823,"sR(6,6)*",806.2742,"sP(8,6)",parallel,1.60E-19,964.5957,"sQ(7,6)",perpendicular,7.80E-19,1103.4795,"sR(6,6)",parallel,2.60E-19
5383.3395,"aR(10,10) ",685.2787,"aP(12,10)",parallel,4.10E-21,921.812,"aQ(11,10)",perpendicular,4.50E-20,1139.4669,"aR(10,10)",parallel,1.20E-20
5505.0656,"aR(10,9) ",691.0242,"aP(12,9)",parallel,1.60E-20,926.8846,"aQ(11,9)",perpendicular,9.40E-20,1143.9078,"aR(10,9)",parallel,5.70E-20
5505.9143,"sR(7,0) ",788.0777,"sP(9,0)",parallel,3.30E-19,-,-,-,-,1122.1853,"sR(7,0)",parallel,1.10E-18
5512.4717,"sR(7,1)*",788.0214,"sP(9,1)",parallel,1.70E-19,964.6985,"sQ(8,1)",perpendicular,9.00E-21,1122.1784,"sR(7,1)",parallel,5.50E-19
5531.888,"sR(7,2)*",787.8547,"sP(9,2)",parallel,1.70E-19,964.6096,"sQ(8,2)",perpendicular,3.60E-20,1122.16,"sR(7,2)",parallel,5.20E-19
5564.993,"sR(7,3)*",787.5761,"sP(9,3)",parallel,3.10E-19,964.467,"sQ(8,3)",perpendicular,1.60E-19,1122.1329,"sR(7,3)",parallel,9.60E-19
5600.6372,"aR(10,8) ",695.7908,"aP(12,8)",parallel,1.00E-20,931.0622,"aQ(11,8)",perpendicular,4.10E-20,1147.5326,"aR(10,8)",parallel,4.30E-20
5612.9291,"sR(7,4)*",787.1989,"sP(9,4)",parallel,1.40E-19,964.2685,"sQ(8,4)",perpendicular,1.40E-19,1122.104,"sR(7,4)",parallel,4.10E-19
5675.4304,"aR(10,7) ",699.7245,"aP(12,7)",parallel,1.20E-20,934.4861,"aQ(11,7)",perpendicular,2.90E-20,1150.4782,"aR(10,7)",parallel,5.20E-20
5677.7236,"sR(7,5)*",786.7323,"sP(9,5)",parallel,1.10E-19,964.0412,"sQ(8,5)",perpendicular,2.10E-19,1122.0937,"sR(7,5)",parallel,3.20E-19
5733.6126,"aR(10,6) ",702.9413,"aP(12,6)",parallel,2.50E-20,937.2683,"aQ(11,6)",perpendicular,3.90E-20,1152.8527,"aR(10,6)",parallel,1.10E-19
5761.7491,"sR(7,6)*",786.1906,"sP(9,6)",parallel,1.60E-19,963.7962,"sQ(8,6)",perpendicular,5.30E-19,1122.1177,"sR(7,6)",parallel,4.00E-19
5778.3853,"aR(10,5) ",705.5318,"aP(12,5)",parallel,1.30E-20,939.4963,"aQ(11,5)",perpendicular,1.30E-20,1154.7407,"aR(10,5)",parallel,6.00E-20
5812.1831,"aR(10,4) ",707.5665,"aP(12,4)",parallel,1.30E-20,941.2378,"aQ(11,4)",perpendicular,7.90E-21,1156.2073,"aR(10,4)",parallel,6.00E-20
5836.6795,"aR(10,3) ",709.0891,"aP(12,3)",parallel,2.60E-20,942.5657,"aQ(11,3)",perpendicular,8.40E-21,1157.3046,"aR(10,3)",parallel,1.20E-19
5853.1391,"aR(10,2) ",710.1655,"aP(12,2)",parallel,1.30E-20,943.4506,"aQ(11,2)",perpendicular,1.80E-21,1158.058,"aR(10,2)",parallel,6.00E-20
5862.7103,"aR(10,1) ",710.7871,"aP(12,1)",parallel,1.30E-20,-,-,-,-,1158.4942,"aR(10,1)",parallel,6.10E-20
5866.6796,"aR(10,0) ",711.0215,"aP(12,0)",parallel,2.60E-20,-,-,-,-,1158.667,"aR(10,0)",parallel,1.20E-19
5868.3228,"sR(7,7)*",785.5963,"sP(9,7)",parallel,3.80E-20,963.5585,"sQ(8,7)",perpendicular,2.40E-19,1122.2036,"sR(7,7)",parallel,7.30E-20
5940.4679,"aR(11,11) ",663.2666,"aP(13,11)",parallel,1.60E-21,919.2664,"aQ(12,11)",perpendicular,2.10E-20,1156.562,"aR(11,11)",parallel,5.20E-21
6023.6695,"sR(8,1)*",768.3114,"sP(10,1)",parallel,7.90E-20,964.0226,"sQ(9,1)",perpendicular,3.40E-21,1140.6997,"sR(8,1)",parallel,2.90E-19
6042.0165,"sR(8,2)*",768.1283,"sP(10,2)",parallel,7.80E-20,963.9242,"sQ(9,2)",perpendicular,1.40E-20,1140.6792,"sR(8,2)",parallel,2.80E-19
6072.6859,"sR(8,3)*",767.809,"sP(10,3)",parallel,1.50E-19,963.7365,"sQ(9,3)",perpendicular,6.40E-20,1140.6274,"sR(8,3)",parallel,5.30E-19
6075.619,"aR(11,10) ",669.7548,"aP(13,10)",parallel,3.00E-21,924.95,"aQ(12,10)",perpendicular,2.20E-20,1161.4833,"aR(11,10)",parallel,1.30E-20
6118.3675,"sR(8,4)*",767.396,"sP(10,4)",parallel,7.10E-20,963.5342,"sQ(9,4)",perpendicular,5.80E-20,1140.6037,"sR(8,4)",parallel,2.40E-19
6179.4596,"sR(8,5)*",766.8705,"sP(10,5)",parallel,6.40E-20,963.2691,"sQ(9,5)",perpendicular,9.10E-20,1140.578,"sR(8,5)",parallel,2.10E-19
6181.2928,"aR(11,9) ",675.1577,"aP(13,9)",parallel,7.90E-21,929.6424,"aQ(12,9)",perpendicular,3.80E-20,1165.5028,"aR(11,9)",parallel,3.70E-20
6258.6483,"sR(8,6)*",766.2525,"sP(10,6)",parallel,1.10E-19,962.9736,"sQ(9,6)",perpendicular,2.60E-19,1140.5792,"sR(8,6)",parallel,3.30E-19
6263.7823,"aR(11,8) ",679.6458,"aP(13,8)",parallel,4.40E-21,933.5083,"aQ(12,8)",perpendicular,1.40E-20,1168.7797,"aR(11,8)",parallel,2.10E-20
6327.9786,"aR(11,7) ",683.3547,"aP(13,7)",parallel,4.60E-21,936.6786,"aQ(12,7)",perpendicular,9.70E-21,1171.4402,"aR(11,7)",parallel,2.30E-20
6359.0503,"sR(8,7)*",765.5612,"sP(10,7)",parallel,3.80E-20,962.6698,"sQ(9,7)",perpendicular,1.60E-19,1140.632,"sR(8,7)",parallel,1.10E-19
6377.6542,"aR(11,6) ",686.3918,"aP(13,6)",parallel,9.20E-21,939.2565,"aQ(12,6)",perpendicular,1.30E-20,1173.5835,"aR(11,6)",parallel,4.70E-20
6415.6953,"aR(11,5) ",688.8409,"aP(13,5)",parallel,4.50E-21,941.3224,"aQ(12,5)",perpendicular,4.10E-21,1175.2869,"aR(11,5)",parallel,2.40E-20
6444.29,"aR(11,4) ",690.7667,"aP(13,4)",parallel,4.40E-21,942.9382,"aQ(12,4)",perpendicular,2.40E-21,1176.6095,"aR(11,4)",parallel,2.40E-20
6465.3995,"aR(11,3) ",692.2313,"aP(13,3)",parallel,8.70E-21,944.1142,"aQ(12,3)",perpendicular,2.50E-21,1177.5909,"aR(11,3)",parallel,4.60E-20
6478.472,"aR(11,2) ",693.229,"aP(13,2)",parallel,4.30E-21,-,-,-,-,1178.2775,"aR(11,2)",parallel,2.20E-20
6484.7191,"sR(8,8)*",764.8236,"sP(10,8)",parallel,1.80E-20,962.3884,"sQ(9,8)",perpendicular,1.40E-19,1140.7706,"sR(8,8)",parallel,3.90E-20
6486.3456,"aR(11,1) ",693.8091,"aP(13,1)",parallel,4.20E-21,-,-,-,-,1178.6606,"aR(11,1)",parallel,2.20E-20
6491.7883,"aR(12,12) ",641.0069,"aP(14,12)",parallel,1.20E-21,916.4282,"aQ(13,12)",perpendicular,1.80E-20,1173.3335,"aR(12,12)",parallel,4.50E-21
6522.1586,"sR(9,0) ",748.8344,"sP(11,0)",parallel,6.40E-20,-,-,-,-,1159.0561,"sR(9,0)",parallel,2.70E-19
6528.1959,"sR(9,1)*",748.7672,"sP(11,1)",parallel,3.20E-20,963.3361,"sQ(10,1)",perpendicular,1.20E-21,1159.0473,"sR(9,1)",parallel,1.30E-19
6545.4309,"sR(9,2)*",748.5698,"sP(11,2)",parallel,3.20E-20,963.2298,"sQ(10,2)",perpendicular,4.90E-21,1159.0258,"sR(9,2)",parallel,1.30E-19
6574.6673,"sR(9,3)*",748.2265,"sP(11,3)",parallel,6.30E-20,963.0575,"sQ(10,3)",perpendicular,2.30E-20,1158.985,"sR(9,3)",parallel,2.60E-19
6616.7879,"sR(9,4)*",747.7627,"sP(11,4)",parallel,3.10E-20,962.7907,"sQ(10,4)",perpendicular,2.10E-20,1158.9289,"sR(9,4)",parallel,1.20E-19
6641.0229,"aR(12,11) ",648.2795,"aP(14,11)",parallel,1.10E-21,922.7526,"aQ(13,11)",perpendicular,1.00E-20,1178.7524,"aR(12,11)",parallel,5.40E-21
6673.9742,"sR(9,5)*",747.1812,"sP(11,5)",parallel,2.90E-20,962.489,"sQ(10,5)",perpendicular,3.50E-20,1158.8875,"sR(9,5)",parallel,1.20E-19
6748.0585,"sR(9,6)*",746.49,"sP(11,6)",parallel,5.30E-20,962.1444,"sQ(10,6)",perpendicular,1.00E-19,1158.8655,"sR(9,6)",parallel,2.00E-19
6757.0027,"aR(12,10) ",654.3471,"aP(14,10)",parallel,1.40E-21,927.9773,"aQ(13,10)",perpendicular,8.10E-21,1183.1725,"aR(12,10)",parallel,7.80E-21
6841.9437,"sR(9,7)*",745.7056,"sP(11,7)",parallel,2.20E-20,961.7762,"sQ(10,7)",perpendicular,6.90E-20,1158.8848,"sR(9,7)",parallel,8.20E-20
6847.0416,"aR(12,9) ",659.407,"aP(14,9)",parallel,3.10E-21,932.2927,"aQ(13,9)",perpendicular,1.20E-20,1186.7774,"aR(12,9)",parallel,1.80E-20
6916.8315,"aR(12,8) ",663.617,"aP(14,8)",parallel,1.60E-21,935.8505,"aQ(13,8)",perpendicular,4.20E-21,1189.7131,"aR(12,8)",parallel,9.30E-21
6959.4111,"sR(9,8)*",744.8509,"sP(11,8)",parallel,1.60E-20,961.411,"sQ(10,8)",perpendicular,8.20E-20,1158.9758,"sR(9,8)",parallel,5.30E-20
6970.7699,"aR(12,7) ",667.1021,"aP(14,7)",parallel,1.50E-21,938.7708,"aQ(13,7)",perpendicular,2.80E-21,1192.0947,"aR(12,7)",parallel,9.50E-21
7012.2303,"aR(12,6) ",669.9607,"aP(14,6)",parallel,3.00E-21,941.1477,"aQ(13,6)",perpendicular,3.60E-21,1194.0124,"aR(12,6)",parallel,1.80E-20
7027.0623,"sR(10,1)*",729.4113,"sP(12,1)",parallel,1.20E-20,-,-,-,-,1177.218,"sR(10,1)",parallel,5.50E-20
7036.9995,"aR(13,13) ",-,-,-,-,913.2912,"aQ(14,13)",perpendicular,3.90E-21,-,-,-,-
7043.1848,"sR(10,2)*",729.203,"sP(12,2)",parallel,1.20E-20,962.5378,"sQ(11,2)",perpendicular,1.60E-21,1177.1978,"sR(10,2)",parallel,5.50E-20
7043.7816,"aR(12,5) ",672.2694,"aP(14,5)",parallel,1.40E-21,943.0544,"aQ(13,5)",perpendicular,1.10E-21,1195.5359,"aR(12,5)",parallel,9.00E-21
7067.366,"aR(12,4) ",674.0872,"aP(14,4)",parallel,1.40E-21,-,-,-,-,1196.7185,"aR(12,4)",parallel,8.30E-21
7069.1462,"sR(10,3)*",728.8132,"sP(12,3)",parallel,2.30E-20,962.2798,"sQ(11,3)",perpendicular,7.60E-21,1177.1108,"sR(10,3)",parallel,1.10E-19
7084.1507,"aR(12,3) ",675.4389,"aP(14,3)",parallel,2.60E-21,-,-,-,-,1197.6073,"aR(12,3)",parallel,1.60E-20
7094.874,"aR(12,2) ",676.4138,"aP(14,2)",parallel,1.30E-21,-,-,-,-,1198.2085,"aR(12,2)",parallel,7.70E-21
7100.9245,"aR(12,1) ",676.9419,"aP(14,1)",parallel,1.20E-21,-,-,-,-,1198.5292,"aR(12,1)",parallel,7.30E-21
7104.9681,"aR(12,0) ",677.1906,"aP(14,0)",parallel,2.50E-21,-,-,-,-,1198.7089,"aR(12,0)",parallel,1.40E-20
7105.33,"sR(9,9)*",743.9582,"sP(11,9)",parallel,1.60E-20,961.086,"sQ(10,9)",perpendicular,1.50E-19,1159.18,"sR(9,9)",parallel,4.00E-20
7109.3284,"sR(10,4)*",728.3232,"sP(12,4)",parallel,1.20E-20,962.0497,"sQ(11,4)",perpendicular,7.10E-21,1177.0776,"sR(10,4)",parallel,5.60E-20
7162.4972,"sR(10,5)*",727.6892,"sP(12,5)",parallel,1.20E-20,961.7134,"sQ(11,5)",perpendicular,1.20E-20,1177.0212,"sR(10,5)",parallel,5.40E-20
7201.1238,"aR(13,12) ",-,-,-,-,920.2901,"aQ(14,12)",perpendicular,8.20E-21,1195.7113,"aR(13,12)",parallel,4.40E-21
7231.3277,"sR(10,6)*",726.9295,"sP(12,6)",parallel,2.20E-20,961.3224,"sQ(11,6)",perpendicular,4.50E-20,1176.9767,"sR(10,6)",parallel,1.00E-19
7318.499,"sR(10,7)*",726.0576,"sP(12,7)",parallel,1.00E-20,960.893,"sQ(11,7)",perpendicular,2.70E-20,1176.9636,"sR(10,7)",parallel,4.60E-20
7327.7365,"aR(13,11) ",-,-,-,-,926.0679,"aQ(14,11)",perpendicular,3.30E-21,1200.541,"aR(13,11)",parallel,3.00E-21
7425.2864,"aR(13,10) ",-,-,-,-,930.8432,"aQ(14,10)",perpendicular,2.40E-21,1204.4735,"aR(13,10)",parallel,3.40E-21
7427.507,"sR(10,8)*",725.0925,"sP(12,8)",parallel,9.00E-21,960.4482,"sQ(11,8)",perpendicular,3.30E-20,1177.0084,"sR(10,8)",parallel,3.80E-20
7500.3542,"aR(13,9) ",643.7362,"aP(15,9)",parallel,1.00E-21,934.7908,"aQ(14,9)",perpendicular,3.30E-21,1207.6766,"aR(13,9)",parallel,7.00E-21
7515.5306,"sR(11,0) ",710.3386,"sP(13,0)",parallel,7.60E-21,-,-,-,-,1195.2169,"sR(11,0)",parallel,4.20E-20
7521.2162,"sR(11,1)*",710.2623,"sP(13,1)",parallel,3.80E-21,-,-,-,-,1195.2069,"sR(11,1)",parallel,2.10E-20
7536.2875,"sR(11,2)*",710.049,"sP(13,2)",parallel,3.80E-21,-,-,-,-,1195.193,"sR(11,2)",parallel,2.10E-20
7558.025,"aR(13,8) ",-,-,-,-,938.0491,"aQ(14,8)",perpendicular,1.10E-21,1210.2827,"aR(13,8)",parallel,3.40E-21
7561.2578,"sR(11,3)*",709.6374,"sP(13,3)",parallel,7.80E-21,961.6669,"sQ(12,3)",perpendicular,2.30E-21,1195.1336,"sR(11,3)",parallel,4.40E-20
7562.8654,"sR(10,9)*",724.0613,"sP(12,9)",parallel,1.30E-20,960.0199,"sQ(11,9)",perpendicular,8.40E-20,1177.1477,"sR(10,9)",parallel,5.00E-20
7575.7651,"aR(14,14) ",-,-,-,-,909.8484,"aQ(15,14)",perpendicular,1.50E-21,-,-,-,-
7597.0436,"sR(11,4)*",709.0973,"sP(13,4)",parallel,4.00E-21,961.3199,"sQ(12,4)",perpendicular,2.20E-21,1195.0464,"sR(11,4)",parallel,2.20E-20
7602.2015,"aR(13,7) ",-,-,-,-,-,-,-,-,1212.3957,"aR(13,7)",parallel,3.20E-21
7635.8598,"aR(13,6) ",-,-,-,-,-,-,-,-,1214.0965,"aR(13,6)",parallel,6.20E-21
7646.171,"sR(11,5)*",708.4153,"sP(13,5)",parallel,4.10E-21,960.952,"sQ(12,5)",perpendicular,3.60E-21,1194.9762,"sR(11,5)",parallel,2.20E-20
7661.2562,"aR(13,5) ",-,-,-,-,-,-,-,-,1215.4472,"aR(13,5)",parallel,2.90E-21
7680.0916,"aR(13,4) ",-,-,-,-,-,-,-,-,1216.4954,"aR(13,4)",parallel,2.80E-21
7694.0989,"aR(13,3) ",-,-,-,-,-,-,-,-,1217.2664,"aR(13,3)",parallel,5.30E-21
7700.9284,"aR(13,2) ",-,-,-,-,-,-,-,-,1217.8144,"aR(13,2)",parallel,2.50E-21
7704.4656,"aR(13,1) ",-,-,-,-,-,-,-,-,1218.0381,"aR(13,1)",parallel,2.30E-21
7709.7126,"sR(11,6)*",707.5927,"sP(13,6)",parallel,8.20E-21,960.5182,"sQ(12,6)",perpendicular,1.10E-20,1194.9111,"sR(11,6)",parallel,4.40E-20
7730.3501,"sR(10,10)*",723.0027,"sP(12,10)",parallel,3.40E-21,959.6524,"sQ(11,10)",perpendicular,3.70E-20,1177.4315,"sR(10,10)",parallel,9.60E-21
7755.737,"aR(14,13) ",-,-,-,-,917.5593,"aQ(15,13)",perpendicular,1.60E-21,-,-,-,-
7790.1177,"sR(11,7)*",706.6404,"sP(13,7)",parallel,4.10E-21,960.0325,"sQ(12,7)",perpendicular,8.60E-21,1194.8679,"sR(11,7)",parallel,2.10E-20
7890.5869,"sR(11,8)*",705.5734,"sP(13,8)",parallel,3.90E-21,959.5139,"sQ(12,8)",perpendicular,1.20E-20,1194.8697,"sR(11,8)",parallel,2.00E-20
7893.4338,"aR(14,12) ",-,-,-,-,923.9142,"aQ(15,12)",perpendicular,2.50E-21,1217.6067,"aR(14,12)",parallel,2.20E-21
7998.5631,"aR(14,11) ",-,-,-,-,-,-,-,-,1221.8692,"aR(14,11)",parallel,1.20E-21
8011.5226,"sR(12,1)*",691.3353,"sP(14,1)",parallel,1.10E-21,-,-,-,-,1213.0081,"sR(12,1)",parallel,7.30E-21
8015.2658,"sR(11,9)*",704.4141,"sP(13,9)",parallel,6.80E-21,958.9893,"sQ(12,9)",perpendicular,3.10E-20,1194.9479,"sR(11,9)",parallel,3.30E-20
8025.7455,"sR(12,2)*",691.1292,"sP(14,2)",parallel,1.10E-21,-,-,-,-,1213.0116,"sR(12,2)",parallel,7.30E-21
8046.0571,"sR(12,3)*",690.6559,"sP(14,3)",parallel,2.40E-21,-,-,-,-,1212.8633,"sR(12,3)",parallel,1.50E-20
8078.6916,"aR(14,10) ",-,-,-,-,-,-,-,-,1225.3345,"aR(14,10)",parallel,1.20E-21
8080.8596,"sR(12,4)*",690.1011,"sP(14,4)",parallel,1.20E-21,-,-,-,-,1212.83,"sR(12,4)",parallel,7.80E-21
8107.7133,"aR(15,15) ",-,-,-,-,906.0924,"aQ(16,15)",perpendicular,1.10E-21,-,-,-,-
8126.0032,"sR(12,5)*",689.376,"sP(14,5)",parallel,1.30E-21,960.2113,"sQ(13,5)",perpendicular,1.00E-21,1212.748,"sR(12,5)",parallel,8.10E-21
8139.6645,"aR(14,9) ",-,-,-,-,-,-,-,-,1228.1541,"aR(14,9)",parallel,2.30E-21
8169.4783,"sR(11,10)*",703.1943,"sP(13,10)",parallel,2.60E-21,958.4967,"sQ(12,10)",perpendicular,1.80E-20,1195.1464,"sR(11,10)",parallel,1.10E-20
8184.3282,"sR(12,6)*",688.497,"sP(14,6)",parallel,2.70E-21,959.7394,"sQ(13,6)",perpendicular,3.30E-21,1212.6649,"sR(12,6)",parallel,1.70E-20
8185.9627,"aR(14,8) ",-,-,-,-,-,-,-,-,1230.4466,"aR(14,8)",parallel,1.10E-21
8247.3648,"aR(14,6) ",-,-,-,-,-,-,-,-,1233.7997,"aR(14,6)",parallel,1.80E-21
8258.0496,"sR(12,7)*",687.4722,"sP(14,7)",parallel,1.40E-21,959.203,"sQ(13,7)",perpendicular,2.50E-21,1212.5951,"sR(12,7)",parallel,8.50E-21
8291.2086,"aR(14,3) ",-,-,-,-,-,-,-,-,1236.6066,"aR(14,3)",parallel,1.50E-21
8303.7559,"aR(14,0) ",-,-,-,-,-,-,-,-,1237.463,"aR(14,0)",parallel,1.40E-21
8350.0699,"sR(12,8)*",686.3134,"sP(14,8)",parallel,1.40E-21,958.6177,"sQ(13,8)",perpendicular,3.70E-21,1212.5581,"sR(12,8)",parallel,8.40E-21
8360.0103,"sR(11,11)*",701.9597,"sP(13,11)",parallel,1.40E-21,958.0888,"sQ(12,11)",perpendicular,1.70E-20,1195.5251,"sR(11,11)",parallel,4.40E-21
8464.1588,"sR(12,9)*",685.0379,"sP(14,9)",parallel,2.70E-21,958.0058,"sQ(13,9)",perpendicular,1.10E-20,1212.581,"sR(12,9)",parallel,1.60E-20
8492.7876,"sR(13,0) ",-,-,-,-,-,-,-,-,1230.6237,"sR(13,0)",parallel,4.60E-21
8498.8176,"sR(13,1)*",-,-,-,-,-,-,-,-,1230.6137,"sR(13,1)",parallel,2.30E-21
8512.9978,"sR(13,2)*",-,-,-,-,-,-,-,-,1230.6716,"sR(13,2)",parallel,2.10E-21
8532.1772,"sR(13,3)*",-,-,-,-,-,-,-,-,1230.542,"sR(13,3)",parallel,4.80E-21
8561.5401,"sR(13,4)*",-,-,-,-,-,-,-,-,1230.4215,"sR(13,4)",parallel,2.50E-21
8602.8291,"sR(13,5)*",-,-,-,-,-,-,-,-,1230.33,"sR(13,5)",parallel,2.60E-21
8605.1766,"sR(12,10)*",683.6716,"sP(14,10)",parallel,1.20E-21,957.3989,"sQ(13,10)",perpendicular,7.10E-21,1212.7013,"sR(12,10)",parallel,6.80E-21
8656.1027,"sR(13,6)*",-,-,-,-,-,-,-,-,1230.2321,"sR(13,6)",parallel,5.60E-21
8723.3469,"sR(13,7)*",-,-,-,-,-,-,-,-,1230.1397,"sR(13,7)",parallel,2.90E-21
8779.3456,"sR(12,11)*",-,-,-,-,956.8418,"sQ(13,11)",perpendicular,8.60E-21,1212.9709,"sR(12,11)",parallel,4.70E-21
8807.1629,"sR(13,8)*",-,-,-,-,-,-,-,-,1230.0694,"sR(13,8)",parallel,3.00E-21
8910.9435,"sR(13,9)*",-,-,-,-,957.0761,"sQ(14,9)",perpendicular,2.90E-21,1230.0439,"sR(13,9)",parallel,6.20E-21
8994.577,"sR(12,12)*",680.8321,"sP(14,12)",parallel,1.00E-21,956.3968,"sQ(13,12)",perpendicular,1.60E-20,1213.4613,"sR(12,12)",parallel,3.90E-21
9009.6303,"sR(14,3)*",-,-,-,-,-,-,-,-,1247.8324,"sR(14,3)",parallel,1.40E-21
9039.0803,"sR(13,10)*",-,-,-,-,956.3676,"sQ(14,10)",perpendicular,2.10E-21,1230.0949,"sR(13,10)",parallel,3.00E-21
